가게,주소,카테고리,리본개수,레드리본 선정,서울 2025 선정,라벨
화이트리에(답십리점),"서울특별시 동대문구 사가정로 80 (답십리동) 카운티에비뉴상가 104호,105호",식빵,0,N,N,
스미레돈카츠(광화문점),서울특별시 종로구 종로 19 (종로1가) 르메이에르종로타운1 지하1층 B103B호,일식돈가스,0,N,N,
해목(서촌점),서울특별시 종로구 자하문로 26-1 (통의동) 해목,일식장어,0,N,N,
마초야(구의직영점),서울특별시 광진구 아차산로 456 (구의동) 세종빌딩,일식우동,0,N,N,
방이네,서울특별시 서대문구 연세로5가길 17 (창천동),중식주점,0,N,N,
연미정(서울역점),서울특별시 용산구 한강대로104길 38 (동자동),"스시, 일식덮밥",0,N,N,
피크버거앤스테이크(명동점),서울특별시 중구 삼일대로 343 (저동1가) 대신파이낸스센터 지하 1층,"햄버거, 스테이크",0,N,N,
자카페,서울특별시 중구 명동길 14 (명동2가) 눈스퀘어 3층,커피전문점,0,N,N,
소주물(신당중앙시장점),서울특별시 중구 마장로 95 (황학동) 힐스테이트 청계 센트럴 1층 103.104호,"소고기구이, 소갈비",0,N,N,
작당모의(성수점),서울특별시 성동구 서울숲4길 16-16 (성수동1가) Mars16,카페,0,N,N,
옥천보쌈,서울특별시 마포구 백범로24길 1-10 (염리동),보쌈,0,N,N,
대양장,서울특별시 서대문구 연세로 23 (창천동) 지하1층,일반중식,0,N,N,
주관,서울특별시 용산구 이태원로26길 13 (이태원동) 2층,한식주점,0,N,N,
샤보샤보,서울특별시 성동구 왕십리로 287 (행당동) 1층,샤브샤브,0,N,N,
사케즈키,서울특별시 동대문구 무학로36길 20 (용두동) 1층,이자카야,0,N,N,
통큰누이네육회빈대떡,서울특별시 종로구 종로32길 5 (종로5가) 광장시장,빈대떡,0,N,N,
셰누프라이빗키친,서울특별시 용산구 녹사평대로 210-6 (이태원동) 마이하우스 3층,프랑스식,0,N,N,
밀라노기사식당,서울특별시 은평구 증산서길 115 (증산동),"이탈리아식, 퓨전",0,N,N,
디에트로,서울특별시 노원구 동일로182길 36 (공릉동),"이탈리아식, 파스타",0,N,N,
카레시,서울특별시 마포구 독막로9길 31 (서교동) SPACE,수프카레,0,N,N,
호박식당(한남점),서울특별시 용산구 한남대로21길 18 (한남동),"소고기구이, 야키니쿠",0,N,N,
산모퉁이,서울특별시 종로구 백석동길 153 (부암동),카페,0,N,N,
스시고킨,서울특별시 중구 을지로 29 (을지로1가) 더존을지타워 지하 1층,스시,0,N,N,
TBD한남,서울특별시 용산구 한남대로27길 25 (한남동) 2층,양식,0,N,N,
랑게,서울특별시 마포구 독막로31길 10 (신수동),이탈리아식,0,N,N,
쥬마뺄,서울특별시 마포구 와우산로37길 42 (동교동) 2층,디저트전문점,0,N,N,
흐붓,서울특별시 용산구 이태원로54길 62-8 (한남동) 2층,퓨전,0,N,N,
육결(종로본점),서울특별시 종로구 삼일대로15길 22 (관철동),일반한식,0,N,N,
센트럴윤잇(국립극장점),서울특별시 중구 장충단로 59 (장충동2가) 국립극장,브런치카페,0,N,N,
대장금,서울특별시 종로구 사직로8길 42 (내수동) 광화문시대 지하1층 101호,"일반한식, 황태",0,N,N,
데일리루틴커피,서울특별시 용산구 한강대로84길 5-8 (남영동) 남영아케이드,커피전문점,0,N,N,
옥돈,서울특별시 성동구 마장로 185 (홍익동) 1층,돼지고기구이,0,N,N,
한우개비싸서차린집,서울특별시 동대문구 전농로 231 (전농동),소고기구이,0,N,N,
본투비블루,서울특별시 중구 동호로 354 (을지로5가) 라마다서울동대문 1층,카페,0,N,N,
이피플라츠,서울특별시 은평구 연서로25길 6-7 (갈현동),브런치카페,0,N,N,
비엔누아즈리리에,서울특별시 마포구 월드컵북로5길 22 (서교동) 국일빌딩,베이커리,0,N,N,
루바토,서울특별시 마포구 월드컵로19길 95 (망원동),"파스타, 와인바",0,N,N,
라리에또,서울특별시 용산구 청파로47나길 13 (청파동2가) 2층,이탈리아식,0,N,N,
우연화,서울특별시 종로구 수표로28길 30-2 (돈의동),함박스테이크,0,N,N,
무월한남,서울특별시 용산구 대사관로34길 31-8 (한남동),한식주점,0,N,N,
두쓰멍,서울특별시 용산구 원효로 210-5 (원효로2가),와인바,0,N,N,
베이커리무이,서울특별시 용산구 원효로81길 17 (원효로1가),베이커리,0,N,N,
티엔미미(홍대점),서울특별시 마포구 양화로 144 (동교동) 4층,"딤섬, 홍콩식중식",0,Y,N,레드리본 선정
파네트,서울특별시 마포구 마포대로11길 17 (공덕동) 양문빌딩 1층,베이커리,0,N,N,
오스테리아오라,서울특별시 마포구 잔다리로 105 (서교동) 잇다빌딩 1층,이탈리아식,0,N,N,
광장동가온,서울특별시 광진구 아차산로78길 75 (광장동) 현대골든텔 106호,"칼국수, 일반한식",0,N,N,
인덕상점(옥수동점),서울특별시 성동구 매봉길 2 (옥수동) 2층,와인바,0,N,N,
대원칼국수,서울특별시 광진구 자양로18길 56 (구의동) 거송빌딩 2층,칼국수,0,N,N,
장자방,서울특별시 노원구 공릉로 101 (공릉동) 경동상가 1층,일반중식,0,N,N,
대엽성수,서울특별시 성동구 왕십리로2길 36 (성수동1가),평양냉면,0,N,N,
종로진낙지,"서울특별시 종로구 수표로 122 (낙원동) 1, 2층",낙지,0,N,N,
이리데센트,서울특별시 성동구 서울숲4길 20-1 (성수동1가) 1층,"커피전문점, 카페",0,N,N,
인사동마늘보쌈,서울특별시 종로구 인사동8길 12-5 (관훈동),보쌈,0,N,N,
누룩앤몰트,서울특별시 마포구 독막로3길 27 (서교동),무국적술집,0,N,N,
엘로코,"서울특별시 성동구 동일로 75-18 (성수동2가) 1층, 2층 엘로코",스페인식,0,N,N,
관북,"서울특별시 종로구 종로5길 32-5 (청진동) 삼선빌딩 1, 2층",순댓국,0,N,N,
블루레시피,서울특별시 서대문구 연희로12길 10-4 (연희동) 1층 101호,프랑스가정식,0,N,N,
카츠토랑(연남본점),서울특별시 마포구 성미산로 95 (성산동),"일식돈가스, 퓨전일식",0,N,N,
명인등심(상암직영점),서울특별시 마포구 매봉산로2길 7 (상암동),소고기구이,0,N,N,
젤라또조아,서울특별시 성북구 동소문로22길 33-5 (동선동1가) 1층,젤라토,0,N,N,
명인등심(마포공덕직영점),서울특별시 마포구 마포대로 144 (공덕동) 마포T타운 지하1층,소고기구이,0,N,N,
테니,서울특별시 성동구 뚝섬로17가길 55 (성수동2가),"카페, 브런치카페",0,N,N,
기브온카페인바,서울특별시 중구 퇴계로42길 35 (필동2가),커피전문점,0,N,N,
흑선,서울특별시 동대문구 왕산로32길 43 (용두동),돼지고기구이,0,N,N,
참맛깔곱창,서울특별시 중랑구 면목로74길 7 (면목동) 1층,돼지곱창,0,N,N,
한상가득왕솥뚜껑,서울특별시 마포구 월드컵북로42나길 20 (상암동) 위너스하임,돼지고기구이,0,N,N,
방콕테이블,서울특별시 용산구 신흥로 54 (용산동2가) 북동연립,태국식,0,N,N,
르프레임,서울특별시 용산구 한강대로21가길 47 (한강로3가) 1층,카페,0,N,N,
퍼멘츠,서울특별시 용산구 한강대로7길 22 (한강로3가),비건,0,N,N,
쁘띠통,서울특별시 종로구 자하문로 40-1 (창성동),베이커리,0,N,N,
멕시칼리,서울특별시 광진구 천호대로 634 (능동),멕시코식,0,N,N,
르부아,서울특별시 성북구 고려대로7길 56-18 (안암동1가) 1층 102호,프렌치비스트로,0,N,N,
루리커피,서울특별시 중구 퇴계로20길 31 (남산동2가),커피전문점,0,N,N,
뛰뚜아멍,서울특별시 성동구 광나루로11길 20 (송정동) 1층 101호,프랑스식,0,N,N,
대문한정식,서울특별시 도봉구 시루봉로 139-6 (방학동),한정식,0,N,N,
꼬치장인,서울특별시 중구 퇴계로 192 (필동1가) 거봉빌딩2층,이자카야,0,N,N,
강별성수,서울특별시 성동구 뚝섬로9길 8 (성수동2가),컨템포러리,0,N,N,
오우칸,서울특별시 성동구 연무장길 37-17 (성수동2가),이자카야,0,N,N,
한길,서울특별시 마포구 독막로 13 (합정동) 일호빌딩 a동 2층,이탈리아식,0,N,N,
스시초심,서울특별시 노원구 노해로85길 1 (상계동) 열방포도원 4층,스시,0,N,N,
연미정,서울특별시 마포구 동교로 262-11 (연남동) 1층,"스시, 일식덮밥",0,N,N,
세겹저장고,서울특별시 마포구 토정로33길 5 (용강동),돼지고기구이,0,N,N,
오뜨서울,서울특별시 마포구 성미산로6길 53 (서교동) 모멘텀빌딩,프랑스식,0,N,N,
대찬식당(수유역본점),서울특별시 강북구 한천로139나길 20 (수유동) 1층,소곱창,0,N,N,
노이덴,서울특별시 용산구 한강대로 373 (동자동) 1층,베트남식,0,N,N,
부토,서울특별시 용산구 한남대로27가길 32 (한남동),"퓨전한식, 바",0,N,N,
바라핀부쉬,서울특별시 용산구 우사단로14길 4 (이태원동) 103호,"샤퀴테리, 프렌치비스트로",0,N,N,
핀즈,서울특별시 성동구 성수일로3길 4-13 (성수동1가),케이크,0,N,N,
베통성수더플래그십,서울특별시 성동구 연무장7가길 8 (성수동2가),"카페, 베이커리",0,N,N,
호박식당(약수본점),서울특별시 중구 다산로 152 (신당동),"소고기구이, 야키니쿠",0,N,N,
원써드,서울특별시 중구 마장로15길 16 (황학동),카페,0,N,N,
산지,서울특별시 중구 다산로 32 (신당동) 남산타운 스포츠센터동 1층 104호,"게장, 생선구이, 삼겹살",0,N,N,
자원대구탕,서울특별시 용산구 한강대로62가길 6 (한강로1가),대구탕,0,N,N,
스스쿠,서울특별시 성북구 고려대로11길 65 (안암동1가) 이수아트빌,디저트전문점,0,N,N,
카토,서울특별시 용산구 한강대로7길 22-7 (한강로3가),브런치카페,0,N,N,
지우갈비(명동본점),서울특별시 중구 퇴계로18길 20 (남산동1가),"소갈비, 소고기구이",0,N,N,
페이퍼파스타by을지로그랑블루,서울특별시 중구 마른내로4길 10 (인현동1가) 정산빌딩,"파스타, 프렌치비스트로",0,N,N,
솜씨이촌,서울특별시 용산구 이촌로65가길 78 (이촌동),"한식주점, 모던한식",0,N,N,
하나스시,서울특별시 용산구 이촌로64길 61 (이촌동) 장미아파트,일식,0,N,N,
대구집,서울특별시 성동구 살곶이길 18 (마장동) 성동안심상가 마장청계점 502호,소고기구이,0,N,N,
프랑제리(피어신촌점),서울특별시 마포구 서강로 75-16 (창전동),베이커리,0,N,N,
우아라,서울특별시 종로구 종로1길 50 (중학동) 지하1층,한우오마카세,0,N,N,
츠케루,서울특별시 마포구 와우산로23길 9 (서교동) 칼리오페 1층,라멘,0,N,N,
서아당,서울특별시 종로구 종로40길 18 (종로5가),베이커리,0,N,N,
비스트로홈,서울특별시 성북구 동소문로22길 25 (동선동1가),"무국적술집, 파스타",0,N,N,
한촉,서울특별시 마포구 연남로3길 10 (연남동) 1층,"초콜릿, 카페",0,N,N,
꾸아(이대점),서울특별시 서대문구 이화여대길 42 (대현동),베트남식,0,N,N,
미야비하나레,서울특별시 마포구 월드컵로3길 31-7 (합정동) 2층,이자카야,0,N,N,
왕십리불곱창,서울특별시 중랑구 상봉로 102 (망우동) 철이모터싸이클,소막창,0,N,N,
풍년닭도리탕(정동직영점 ),서울특별시 중구 정동길 5 (정동) 경향신문사 별관 1층,닭볶음탕,0,N,N,
853,서울특별시 종로구 인사동12길 16 (관훈동),돼지고기구이,0,N,N,
이강희곰탕,서울특별시 성북구 성북로5길 9-4 (성북동1가) 정주빌딩 1층,"곰탕, 곱창전골",0,N,N,
삼평식당(홍대본점),서울특별시 마포구 동교로 164 (서교동),삼겹살,0,N,N,
커피하우스마이샤,서울특별시 마포구 포은로 52 (합정동),커피전문점,0,N,N,
로앤엄,서울특별시 성동구 왕십리로14길 24 (성수동1가),커피전문점,0,N,N,
심야식당히로,서울특별시 광진구 천호대로 647 (중곡동) 1층,이자카야,0,N,N,
청기와갈비,서울특별시 마포구 동교로 188-1 (동교동),소갈비,0,N,N,
카페델피니,서울특별시 용산구 두텁바위로69길 29 (후암동) 몬테피오레 상가 1F,브런치카페,0,N,N,
불맛감자국,서울특별시 은평구 응암로 172-1 (응암동),감자탕,0,N,N,
봉평골메밀막국수,서울특별시 동대문구 한천로 186 (장안동),막국수,0,N,N,
르몽블랑,서울특별시 용산구 신흥로 99-4 (용산동2가),디저트전문점,0,N,N,
난망베이킹스튜디오,서울특별시 동대문구 사가정로 41-1 (답십리동),대만디저트,0,N,N,
오아테이블,서울특별시 동대문구 장안벚꽃로3길 4 (장안동) 1층,브런치카페,0,N,N,
토리노라스베가스,서울특별시 중구 마른내로 13 (저동2가),"일식, 이자카야",0,N,N,
김과장고깃집,서울특별시 성북구 한천로78길 46 (석관동) 1층,"돼지고기구이, 소고기구이",0,N,N,
백이손두부,서울특별시 성북구 한천로78길 24 (석관동) 1층,두부,0,N,N,
하오하오츠,서울특별시 성북구 서경로 37 (정릉동),일반중식,0,N,N,
남짐릇,서울특별시 성동구 연무장5가길 32 (성수동2가) 동아기업 지하 1층,태국식,0,N,N,
수유부추곱창,서울특별시 강북구 도봉로87길 26-21 (수유동),소곱창,0,N,N,
하노루,서울특별시 마포구 마포대로10길 11 (공덕동) 1층,일식돈가스,0,N,N,
디어다온,서울특별시 마포구 동교로38길 33-9 (연남동) 101호,"푸딩, 빙수",0,N,N,
야키토리시오,서울특별시 광진구 구의로 16 (구의동) 102호,"이자카야, 야키토리",0,N,N,
금쪽삼겹,서울특별시 광진구 능동로16길 57 (화양동) 화양상가,돼지고기구이,0,N,N,
익선요록,서울특별시 종로구 돈화문로11다길 41 (익선동) 1층,일반한식,0,N,N,
마포숯불닭갈비,서울특별시 마포구 마포대로8안길 14 (공덕동),닭갈비,0,N,N,
서울로인(서울역점),서울특별시 중구 한강대로 416 (남대문로5가) 서울스퀘어 지하1층,한우오마카세,0,N,N,
초연,"서울특별시 중구 수표로 50 (을지로3가) 1, 2층",돼지고기구이,0,N,N,
스트라다로스터스(용산점),서울특별시 용산구 백범로90길 70 (문배동) 봉신장학회 1층,카페,0,N,N,
오스테리아리오,서울특별시 마포구 어울마당로5길 50 (서교동) 씨케이21,이탈리아식,0,N,N,
담원순대,서울특별시 중구 세종대로9길 52 (서소문동) 1층,"순댓국, 순대",0,N,N,
베이킹덕케이크하우스,서울특별시 노원구 동일로192길 80 (공릉동) 명성빌딩 1층,"케이크, 카페",0,N,N,
패티패티,서울특별시 성동구 아차산로13길 33 (성수동2가) 협성빌딩 105호,햄버거,0,N,N,
오투베이커리,서울특별시 광진구 광나루로37길 45 (구의동) 1층 오투베이커리,베이커리,0,N,N,
카페아이엠티(청계천을지로점),서울특별시 중구 남대문로10길 30 (수하동),카페,0,N,N,
리파인(을지로명동점),서울특별시 종로구 청계천로 67 (관철동) 종로1번가오피스텔 2층,다이닝바,0,N,N,
오아시스,서울특별시 서대문구 이화여대5길 15 (대현동) 2층,LP바,0,N,N,
왕십리누룽지통닭구이,서울특별시 성동구 고산자로 297 (마장동) 1층,통닭,0,N,N,
술있는식탁(성수본점),서울특별시 성동구 왕십리로10길 18 (성수동1가),한식주점,0,N,N,
연남제비,서울특별시 마포구 성미산로 186 (연남동),돼지고기구이,0,N,N,
예맥관,서울특별시 종로구 종로16길 31-3 (관수동),돼지고기구이,0,N,N,
규도(마포본점),서울특별시 마포구 마포대로 33 (도화동) 마포 한화 오벨리스크 지하1층 138호,규카츠,0,N,N,
스테이,서울특별시 광진구 능동로49길 13 (중곡동) 1층,"이탈리아식, 피자",0,N,N,
우곱(신촌본점),서울특별시 서대문구 연세로2길 85 (대현동) 목화빌딩 1층,"소곱창, 곱창전골",0,N,N,
안짱,서울특별시 마포구 양화로8길 16-12 (서교동),이자카야,0,N,N,
정든식당,서울특별시 성동구 연무장15길 11 (성수동2가) C동 2층 202호,"국수, 보쌈",0,N,N,
인생한밤,서울특별시 노원구 동일로195길 7 (공릉동) 1층 103호,"한식주점, 파스타",0,N,N,
아디오도시,서울특별시 종로구 사직로12길 1-9 (내자동),와인바,0,N,N,
꿈꾸는메밀,서울특별시 용산구 한강대로23길 55 (한강로3가) HDC 아이파크몰 7층,"막국수, 메밀",0,N,N,
도투리샤브칼국수불광천,서울특별시 은평구 증산로 303 (증산동) 태광아파트 1층,만두전골,0,N,N,
스키야키201,서울특별시 마포구 양화로6길 10 (합정동) 2층,"스키야키, 일식샤부샤부",0,N,N,
멘소레,서울특별시 종로구 새문안로 92 (신문로1가) 오피시아빌딩,일식덮밥,0,N,N,
스마일닭발,서울특별시 노원구 동일로191가길 3 (공릉동) 1층,닭발,0,N,N,
업투미,서울특별시 마포구 성미산로 165-6 (연남동) 동보빌딩 1층,호주식,0,N,N,
의정부사람,서울특별시 성북구 정릉로23길 52 (정릉동) 상덕리츠빌,한식주점,0,N,N,
졸리파이마켓,서울특별시 마포구 망원로10길 16 (망원동) 1층,"타르트, 파이",0,N,N,
서정식탁,서울특별시 서대문구 세검정로1길 67 (홍은동) 1층 1호,무국적술집,0,N,N,
임브레드,서울특별시 노원구 한글비석로 273 (중계동) 대웅빌딩 1층 104호,베이커리,0,N,N,
취야벌,서울특별시 종로구 인사동7길 21 (관훈동),"국수, 만두",0,N,N,
프라나테이블,서울특별시 성동구 성수일로3길 3-9 (성수동1가) 2층,카페,0,N,N,
리퍼,서울특별시 마포구 월드컵북로5길 65 (서교동) 주원빌딩 104호,"캐주얼다이닝, 다이닝바",0,N,N,
온미관안국,서울특별시 종로구 북촌로2길 5-4 (재동),일반한식,0,N,N,
봉선화빛,서울특별시 마포구 성지3길 60 (합정동),일식오마카세,0,N,N,
거복이식당,서울특별시 동대문구 경희대로3길 6 (회기동) 1층,돼지고기구이,0,N,N,
파스타타타,서울특별시 중구 남대문로9길 6 (다동) 대한빌딩,파스타,0,N,N,
익스첼(합정본점),서울특별시 마포구 토정로 33-1 (합정동) 1층,멕시코식,0,N,N,
미미,서울특별시 노원구 덕릉로83길 25 (중계동) 2층,일반중식,0,N,N,
벅벅,서울특별시 종로구 명륜길 48 (명륜3가),햄버거,0,N,N,
육전국밥(홍대점),서울특별시 마포구 어울마당로 140 (서교동) 1층,"소고기국밥, 육전, 막국수",0,N,N,
단미쌀디저트,서울특별시 중구 다산로 239 (무학동) 유진빌딩 1층,베이커리,0,N,N,
비볼리,서울특별시 마포구 독막로 31-3 (합정동) 2F,이탈리아식,0,N,N,
모양,서울특별시 마포구 독막로3길 24-9 (서교동) 1층,"수육, 한식주점",0,N,N,
리제로서울,서울특별시 종로구 경희궁3길 3-5 (신문로2가),카페,0,N,N,
수라간,서울특별시 마포구 동교로38안길 3 (연남동) 1층,일반한식,0,N,N,
가치,서울특별시 마포구 새창로6길 18 (도화동),위스키바,0,N,N,
커피그라운즈,서울특별시 동대문구 답십리로48길 57 (답십리동),커피전문점,0,N,N,
란칼국수,서울특별시 성동구 성수일로8길 42 (성수동2가) 삼원빌딩,칼국수,0,N,N,
청파책가도,서울특별시 용산구 청파로73길 96 (서계동) 1층,커피전문점,0,N,N,
슬런치팩토리,서울특별시 마포구 와우산로 94 (상수동) 아트앤디자인밸리 b119호,"비건, 다이어트식",0,N,N,
산청숯불가든,서울특별시 중구 을지로 114-6 (을지로3가) 홍원빌딩 1층,돼지고기구이,0,N,N,
탄토탄토,서울특별시 광진구 아차산로33길 49 (화양동),이탈리아식,0,N,N,
울타리곱창,서울특별시 중랑구 중랑역로 20 (중화동) 1층,돼지곱창,0,N,N,
안초,서울특별시 광진구 면목로 67-4 (중곡동),스페인식,0,N,N,
로컬릿,서울특별시 성동구 한림말길 33 (옥수동) 청훈빌딩 2층,이탈리아식,0,N,N,
코야마,서울특별시 종로구 종로 33 (청진동) 그랑서울 2층 201호,일식오마카세,0,N,N,
스쿠퍼젤라또(삼각지점),서울특별시 용산구 한강대로62길 37 (한강로1가),젤라토,0,N,N,
허니비서울,서울특별시 용산구 대사관로5길 14-3 (한남동) 지하1층,디저트전문점,0,N,N,
육미곳간,서울특별시 중구 다동길 16 (다동) 2층,양고기,0,N,N,
라운지클라리멘토,서울특별시 마포구 잔다리로7안길 18 (서교동) 두비스빌딩,커피전문점,0,N,N,
밀스,"서울특별시 성동구 뚝섬로4길 21 (성수동1가) 1층, 2층",베이커리,0,N,N,
해리스,"서울특별시 용산구 서빙고로24길 12-4 (한강로3가) 1층, 2층, 3층",프랑스식,0,N,N,
대화정,서울특별시 중구 장충단로 249-20 (을지로6가),"우거지해장국, 선지해장국",0,N,N,
담산(신촌본점),서울특별시 서대문구 연세로5다길 5 (창천동) 장평빌딩 1층,돼지등갈비,0,N,N,
포가,서울특별시 마포구 동교로46길 24-4 (연남동) 2층,일반중식,0,N,N,
쉐프의콜렉션,서울특별시 광진구 자양로18길 72 (구의동),일식,0,N,N,
그늘,서울특별시 마포구 독막로3길 33-3 (서교동),한식주점,0,N,N,
경성치킨,"서울특별시 종로구 율곡로4길 5 (수송동) 1층, 2층",프라이드치킨,0,N,N,
도호,서울특별시 종로구 종로53길 17 (창신동),"소고기구이, 돼지고기구이",0,N,N,
일호단팥,서울특별시 마포구 백범로16길 1 (대흥동) 1층,"카페, 한식디저트",0,N,N,
커피는기억의끌림,서울특별시 노원구 석계로 98-1 (월계동),커피전문점,0,N,N,
모닐이네하우스,서울특별시 마포구 성미산로26길 9 (연남동) 1층 101호,구움과자,0,N,N,
마노디셰프(명동점),서울특별시 중구 명동길 26 (명동2가) 유네스코회관 11층,"피자, 파스타, 이탈리아식",0,N,N,
유로세븐틴아트레스토랑,서울특별시 성북구 창경궁로43길 46 (성북동1가),이탈리아식,0,N,N,
무제서울,서울특별시 마포구 양화로6길 91 (서교동),이자카야,0,N,N,
꼰떼,서울특별시 종로구 창의문로5길 6-1 (부암동) 1층,이탈리아식,0,N,N,
샤브마을(쌍문역본점),서울특별시 도봉구 도봉로 445 (쌍문동),샤브샤브,0,N,N,
노량진종합어시장,서울특별시 은평구 은평로 194 (응암동),생선회,0,N,N,
올디스타코,서울특별시 중구 충무로4길 3 (초동) 한신빌딩 1층,멕시코식,0,N,N,
아이러브신당동,서울특별시 중구 퇴계로76길 50 (신당동) 성완빌딩 1층,떡볶이,0,N,N,
마초스테이크(장안직영점),서울특별시 동대문구 장한로5길 17 (장안동) 두원텍스타일 104호,스테이크,0,N,N,
코돈부르(광화문본점),서울특별시 종로구 종로 19 (종로1가) 르메이에르 종로타운 2층 215호,일식돈가스,0,N,N,
막스,서울특별시 마포구 백범로 152 (공덕동) 공덕파크자이 102동 22호,프랑스식,0,N,N,
에스메로,서울특별시 성동구 뚝섬로13길 36 (성수동2가) 위즈엘 성수 9층,타파스바,0,N,N,
개화플로이죵,서울특별시 종로구 필운대로6길 6 (통인동) 1층,프랑스식,0,N,N,
쪽갈비대통령(먹골본점),서울특별시 중랑구 동일로163길 46 (묵동) 1층,돼지등갈비,0,N,N,
풍성집,서울특별시 용산구 한강대로62길 38 (한강로1가) 1층,"소고기구이, 돼지고기구이",0,N,N,
태조감자국,서울특별시 성북구 보문로34길 43 (동선동1가) 세학빌딩,감자탕,0,N,N,
평양집,서울특별시 용산구 한강대로 186 (한강로1가),"소곱창, 소고기구이",0,N,N,
동신화로,서울특별시 마포구 매봉산로2길 25-8 (상암동) 1층~3층,"돼지고기구이, 삼겹살",0,N,N,
어글리베이커스베이글,서울특별시 중구 다산로40길 17 (신당동),베이글,0,N,N,
네코노유부(상수본점),서울특별시 마포구 와우산로13길 49-11 (상수동) 반지층,"우동, 퓨전한식",0,N,N,
호선생전,서울특별시 종로구 종로32길 15 (종로5가),한식주점,0,N,N,
우모에,서울특별시 용산구 한강대로84길 21-17 (남영동) 뉴스타임즈빌딩 1층,"카페, 와인바",0,N,N,
무르무르드구스토,서울특별시 성북구 고려대로 102-2 (안암동5가) 4층 무르무르,이탈리아식,0,N,N,
아뮤즈,서울특별시 은평구 은평로8길 29 (응암동) 서강스카이빌3 1층 106호,"와인바, 이탈리아식",0,N,N,
터렛,서울특별시 용산구 이태원로 136-1 (이태원동) 은영빌딩 2층,"이탈리아식, 와인바",0,N,N,
산펠리체,서울특별시 종로구 옥인1길 1 (옥인동) 1층,파스타,0,N,N,
옥면가,서울특별시 마포구 백범로26길 4-5 (염리동),국수,0,Y,Y,레드리본 선정 서울 2025 선정
합심,서울특별시 종로구 경교장길 35 (평동) 경희궁자이 3단지 3120호,커피전문점,0,N,N,
커피투어(경희궁점),서울특별시 종로구 경희궁2길 12 (내수동),커피전문점,0,N,N,
커피투어(경복궁점),서울특별시 종로구 자하문로 1 (내자동),커피전문점,0,N,N,
콘드에뻬뻬,서울특별시 중구 장충단로8길 21 (장충동1가) 1층,"브런치카페, 와인바",0,N,N,
니쿠노쿄오리,서울특별시 중구 동호로7길 45 (신당동),"야키니쿠, 일식",0,N,N,
카나비,서울특별시 용산구 한강대로62길 55 (한강로1가) 평복빌딩 4층,모던한식,0,N,N,
딥스파티세리,서울특별시 마포구 성미산로29안길 19-4 (연남동) 1층,디저트전문점,0,N,N,
삼월황,서울특별시 종로구 삼청로 124-4 (삼청동),티카페,0,N,N,
바다회사랑,서울특별시 마포구 동교로27길 60 (연남동) 1층,"생선회, 방어",0,N,N,
하오카오스탠,서울특별시 중구 퇴계로80길 26 (신당동),"훠궈, 퓨전중식",0,N,N,
알레즈,서울특별시 용산구 독서당로 89 (한남동) 지하 1층,프랑스식,0,N,N,
커피가게동경,서울특별시 마포구 망원로6길 21 (망원동),커피전문점,0,N,N,
레드브릭비스트로,서울특별시 용산구 이태원로20길 13 (이태원동),이탈리아식,0,N,N,
산청엔흑돼지,서울특별시 마포구 포은로 110 (망원동),돼지고기구이,0,N,N,
넘버원양꼬치(한남점),서울특별시 용산구 대사관로 76 (한남동),양꼬치,0,N,N,
브와르,서울특별시 성동구 성덕정3길 8 (성수동1가),와인바,0,N,N,
고기굽는놈(본점),서울특별시 광진구 아차산로31길 8 (화양동),"소고기구이, 돼지갈비",0,N,N,
차경,서울특별시 용산구 소월로20길 46 (용산동2가) 양옥숙산부인과 2층,와인바,0,N,N,
서교포차,서울특별시 마포구 잔다리로 5 (서교동) Kj빌딩,한식주점,0,N,N,
카페드래빗,서울특별시 마포구 동교로29길 10 (연남동) 카페드래빗,카페,0,N,N,
신당간절곶,서울특별시 중구 퇴계로 449-10 (황학동) 1층,생선회,0,N,N,
겨리,서울특별시 도봉구 도봉로112길 29 (창동) 1층,카이센동,0,N,N,
몽당,서울특별시 노원구 노해로85길 10-33 (상계동) 노원 오피스텔 1층,한식주점,0,N,N,
청춘남원추어탕,서울특별시 노원구 동일로 1383 (상계동),추어탕,0,N,N,
고궁의아침(서울대병원점),서울특별시 종로구 창경궁로 158 (원남동) 고궁의아침,소고기구이,0,N,N,
오복왕족발보쌈,서울특별시 중랑구 사가정로49길 15 (면목동) 신광빌딩 1층,족발,0,N,N,
프릳츠(장충점),서울특별시 중구 동호로24길 11 (장충동2가),카페,0,N,N,
플라토,서울특별시 성동구 성덕정21길 11 (성수동2가),베이커리,0,N,N,
안정자김밥,서울특별시 은평구 연서로48길 11 (진관동) 푸르지오아파트 514동 상가 103호,김밥,0,N,N,
부마보쌈족발(장안점),서울특별시 동대문구 장한로 54 (장안동),"보쌈, 족발",0,N,N,
샤오바오우육면(종로점),서울특별시 종로구 삼일대로17길 15 (관철동),일반중식,0,N,N,
르알래스카,서울특별시 성동구 연무장길 20-1 (성수동1가) 1층,베이커리,0,N,N,
러프도우,서울특별시 노원구 동일로 986 (공릉동) 프레미어스엠코 118호,베이커리,0,N,N,
뮬랭듀몽드,서울특별시 종로구 필운대로 49-2 (누하동) 1층 뮬랭 듀 몽드,식빵,0,N,N,
우피치바,서울특별시 용산구 청파로47길 20-7 (청파동2가) 시온의 아침 1층,와인바,0,N,N,
군자주민,서울특별시 광진구 천호대로112길 28 (능동),일식돈가스,0,N,N,
능라도명동,서울특별시 중구 명동길 53 (명동1가),평양냉면,0,N,N,
