가게,주소,카테고리,리본개수,레드리본 선정,서울 2025 선정,라벨
모에기,서울특별시 광진구 워커힐로 177 (광장동) 비스타워커힐서울 1층,"일식, 스시, 데판야키",2,N,Y,서울 2025 선정
쥬에,서울특별시 용산구 독서당로 124-7 (한남동),"광동식중식, 딤섬",2,N,Y,서울 2025 선정
휴135,서울특별시 용산구 이태원로55나길 6 (한남동),스테이크,2,Y,Y,레드리본 선정 서울 2025 선정
피에르가니에르서울,서울특별시 중구 을지로 30 (소공동) 롯데호텔신관 35층,프랑스식,2,N,Y,서울 2025 선정
진진,서울특별시 마포구 월드컵북로1길 60 (서교동),일반중식,2,Y,Y,레드리본 선정 서울 2025 선정
찰스H,서울특별시 종로구 새문안로 97 (당주동) 포시즌스호텔서울 지하 1층,위스키바,2,N,Y,서울 2025 선정
유유안,서울특별시 종로구 새문안로 97 (당주동) 포시즌스호텔서울 11층,"광동식중식, 북경오리, 딤섬",2,Y,Y,레드리본 선정 서울 2025 선정
부첼리하우스,서울특별시 용산구 독서당로 122-1 (한남동) 포트힐빌딩,스테이크,2,Y,Y,레드리본 선정 서울 2025 선정
옥동식,서울특별시 마포구 양화로7길 44-10 (서교동) 3차신도빌라,돼지곰탕,2,N,Y,서울 2025 선정
호빈,서울특별시 중구 동호로 287 (장충동2가) 앰배서더서울풀만호텔 2층,일반중식,2,Y,Y,레드리본 선정 서울 2025 선정
핏제리아오,"서울특별시 종로구 동숭길 86 (동숭동) 2,3층","피자, 이탈리아식",2,Y,Y,레드리본 선정 서울 2025 선정
딥블루레이크,서울특별시 마포구 포은로6길 11 (망원동),커피전문점,2,N,Y,서울 2025 선정
피에트라,서울특별시 마포구 성미산로23길 62 (연남동),젤라토,2,N,Y,서울 2025 선정
쟈니덤플링,서울특별시 용산구 보광로59길 33 (이태원동),중국만두,2,Y,Y,레드리본 선정 서울 2025 선정
피에세,서울특별시 용산구 한남대로 91 (한남동) 나인원 한남 지하2층,퓨전중식,2,N,Y,서울 2025 선정
라연,서울특별시 중구 동호로 249 (장충동2가) 서울신라호텔 23층,모던한식,2,N,Y,서울 2025 선정
BLT스테이크,서울특별시 종로구 청계천로 279 (종로6가) JW메리어트동대문스퀘어서울 2층,스테이크,2,N,Y,서울 2025 선정
라세느,서울특별시 중구 을지로 30 (소공동) 롯데호텔 본관 1층,뷔페,2,N,Y,서울 2025 선정
부아쟁,서울특별시 마포구 마포대로 8 (마포동) 호텔 나루 서울 엠갤러리 22층,"프랑스식, 유럽식",2,N,Y,서울 2025 선정
금룡,서울특별시 광진구 워커힐로 177 (광장동) 워커힐호텔 1층,광동식중식,2,N,Y,서울 2025 선정
홍연,서울특별시 중구 소공로 106 (소공동) 서울 웨스틴조선호텔 LL층,"홍콩식중식, 광동식중식",2,Y,Y,레드리본 선정 서울 2025 선정
모모야마,서울특별시 중구 을지로 30 (소공동) 롯데호텔서울 본관 38층,"일식, 스시, 가이세키",2,N,Y,서울 2025 선정
세스타,"서울특별시 용산구 한남대로20길 21-18 (한남동) 1층 101호, 102호","미국식, 스테이크",2,Y,Y,레드리본 선정 서울 2025 선정
팔레드신,서울특별시 중구 퇴계로 67 (회현동1가) 레스케이프 호텔 6층,"모던차이니즈, 홍콩식중식, 북경오리",2,Y,Y,레드리본 선정 서울 2025 선정
모던샤브하우스(광화문D타워점),서울특별시 종로구 종로3길 17 (청진동) D타워 5층,샤브샤브,2,Y,Y,레드리본 선정 서울 2025 선정
오장동함흥냉면,서울특별시 중구 마른내로 108 (오장동),"함흥냉면, 수육",2,N,Y,서울 2025 선정
목란,서울특별시 서대문구 연희로15길 21 (연희동),일반중식,2,Y,Y,레드리본 선정 서울 2025 선정
순라길,서울특별시 종로구 서순라길 141 (권농동),홍어,2,N,Y,서울 2025 선정
댓잎갈비,서울특별시 용산구 서빙고로91길 2 (보광동),"소갈비, 돼지갈비",2,Y,Y,레드리본 선정 서울 2025 선정
남영돈,서울특별시 용산구 한강대로80길 17 (남영동),돼지고기구이,2,Y,Y,레드리본 선정 서울 2025 선정
플레이버타운,서울특별시 성동구 서울숲4길 18-7 (성수동1가),퓨전중식,2,Y,Y,레드리본 선정 서울 2025 선정
성우서서갈비,서울특별시 마포구 마포대로1길 26 (용강동),소갈비,2,Y,Y,레드리본 선정 서울 2025 선정
필동칼국수,서울특별시 중구 퇴계로36길 9 (필동2가),칼국수,2,N,Y,서울 2025 선정
다만프레르,서울특별시 중구 세종대로 136 (태평로1가) 파이낸스빌딩 지하 1층,홍차전문점,2,N,Y,서울 2025 선정
무교동유정낙지,서울특별시 중구 세종대로21길 22 (태평로1가) 태성빌딩 101호,낙지,2,Y,Y,레드리본 선정 서울 2025 선정
마테오견문록,서울특별시 성동구 금호로 17 (금호동4가) 상가 1층,파스타,2,Y,Y,레드리본 선정 서울 2025 선정
오월의종,서울특별시 용산구 이태원로45길 34 (한남동),베이커리,2,N,Y,서울 2025 선정
세스크멘슬,서울특별시 성동구 성수이로14길 7 (성수동2가),"샤퀴테리, 독일식",2,N,Y,서울 2025 선정
용수산비원,서울특별시 종로구 창덕궁1길 2 (원서동),"한정식, 개성음식",2,N,Y,서울 2025 선정
매튜,서울특별시 성동구 뚝섬로15길 31 (성수동2가),컨템포러리,2,N,Y,서울 2025 선정
스기모토,서울특별시 종로구 북촌로5길 54 (소격동) 2층,스시,2,N,Y,서울 2025 선정
정대,서울특별시 종로구 경희궁길 36 (신문로2가) 경희당빌딩 2층,스시,2,N,Y,서울 2025 선정
몽탄,서울특별시 용산구 백범로99길 50 (한강로1가),"우대갈비, 돼지고기구이",2,Y,Y,레드리본 선정 서울 2025 선정
바토스,서울특별시 용산구 이태원로15길 1 (이태원동) 제일은행 2층,멕시코식,2,Y,Y,레드리본 선정 서울 2025 선정
우스블랑,서울특별시 용산구 효창원로70길 4 (효창동),베이커리,2,N,Y,서울 2025 선정
바참,서울특별시 종로구 자하문로7길 34 (통인동),칵테일바,2,N,Y,서울 2025 선정
로스옥(한남점),서울특별시 용산구 한남대로21길 14 (한남동),소고기구이,2,Y,Y,레드리본 선정 서울 2025 선정
JL디저트바,서울특별시 용산구 대사관로31길 7-2 (한남동) 3층,라이브디저트,2,N,Y,서울 2025 선정
아이덴티티커피랩,서울특별시 마포구 동교로 139 (서교동),커피전문점,2,N,Y,서울 2025 선정
폴앤폴리나,서울특별시 서대문구 연희로11길 56 (연희동),베이커리,2,N,Y,서울 2025 선정
나무사이로내자,서울특별시 종로구 사직로8길 21 (내자동),커피전문점,2,N,Y,서울 2025 선정
컨퍼런스하우스달개비,서울특별시 중구 세종대로19길 16 (정동),한정식,2,N,Y,서울 2025 선정
하카다분코,서울특별시 마포구 독막로19길 43 (상수동),라멘,2,Y,Y,레드리본 선정 서울 2025 선정
하동관,서울특별시 중구 명동9길 12 (명동1가),"곰탕, 수육",2,N,Y,서울 2025 선정
평양면옥,서울특별시 중구 장충단로 207 (장충동1가),"평양냉면, 수육, 어복쟁반",2,N,Y,서울 2025 선정
평래옥,서울특별시 중구 마른내로 21-1 (저동2가),"초계탕, 닭무침, 어복쟁반",2,N,Y,서울 2025 선정
토속촌,서울특별시 종로구 자하문로5길 5 (체부동),"삼계탕, 닭볶음탕",2,Y,Y,레드리본 선정 서울 2025 선정
큰기와집,서울특별시 종로구 북촌로 22 (재동),게장,2,Y,Y,레드리본 선정 서울 2025 선정
청진옥,서울특별시 종로구 종로3길 32 (청진동),"선지해장국, 수육",2,N,Y,서울 2025 선정
지화자,서울특별시 종로구 자하문로 125 (청운동),한정식,2,N,Y,서울 2025 선정
삼청각한식당,서울특별시 성북구 대사관로 3 (성북동),한정식,2,Y,Y,레드리본 선정 서울 2025 선정
을지면옥,서울특별시 종로구 삼일대로30길 12 (낙원동),"평양냉면, 제육, 수육",2,Y,Y,레드리본 선정 서울 2025 선정
우래옥,서울특별시 중구 창경궁로 62-29 (주교동),"소불고기, 어복쟁반, 평양냉면",2,Y,Y,레드리본 선정 서울 2025 선정
오장동흥남집,서울특별시 중구 마른내로 114 (오장동),"수육, 함흥냉면",2,N,Y,서울 2025 선정
영춘옥,서울특별시 종로구 돈화문로5가길 13 (돈의동),"꼬리곰탕, 선지해장국, 수육",2,N,Y,서울 2025 선정
자하손만두,서울특별시 종로구 백석동길 12 (부암동),만두,2,Y,Y,레드리본 선정 서울 2025 선정
더파크뷰,서울특별시 중구 동호로 249 (장충동2가) 서울신라호텔 1층,뷔페,2,N,Y,서울 2025 선정
레스토랑오늘,서울특별시 용산구 장문로 60 (동빙고동) 행복나눔재단 2층,모던한식,2,N,Y,서울 2025 선정
두가헌,서울특별시 종로구 삼청로 14 (사간동),"프랑스식, 와인바",2,N,Y,서울 2025 선정
무교동북어국집,서울특별시 중구 을지로1길 38 (다동),북엇국,2,N,Y,서울 2025 선정
마포옥,서울특별시 마포구 토정로 312 (용강동) 2층,"설렁탕, 수육",2,Y,Y,레드리본 선정 서울 2025 선정
수엔190,서울특별시 중구 퇴계로 190 (필동1가) 매경미디어센터 12층,일반중식,2,Y,Y,레드리본 선정 서울 2025 선정
라쿠치나,서울특별시 용산구 회나무로44길 10 (이태원동),"이탈리아식, 파스타",2,Y,Y,레드리본 선정 서울 2025 선정
엘카페커피로스터스,서울특별시 용산구 후암로 68 (후암동) 인성한의원 지하 1층,커피전문점,2,N,Y,서울 2025 선정
두레,서울특별시 종로구 삼청로 30 (소격동) 국립현대미술관 1층,한정식,2,N,Y,서울 2025 선정
메쉬커피,서울특별시 성동구 서울숲길 43 (성수동1가),커피전문점,2,N,Y,서울 2025 선정
더레스토랑,"서울특별시 종로구 삼청로 54 (소격동) 국제화랑 2, 3층",프랑스식,2,N,Y,서울 2025 선정
대성집,서울특별시 종로구 사직로 5 (행촌동),"도가니탕, 선지해장국, 수육",2,N,Y,서울 2025 선정
나인스게이트,서울특별시 중구 소공로 106 (소공동) 서울웨스틴조선호텔 1층,미국식,2,N,Y,서울 2025 선정
경인미술관전통다원,서울특별시 종로구 인사동10길 11-4 (관훈동) 경인미술관,전통차전문점,2,N,Y,서울 2025 선정
진미식당,서울특별시 마포구 마포대로 186-6 (공덕동),게장,2,N,Y,서울 2025 선정
까델루뽀,서울특별시 종로구 자하문로16길 5-5 (효자동),"이탈리아식, 파스타",2,Y,Y,레드리본 선정 서울 2025 선정
나폴레옹과자점,서울특별시 성북구 성북로 7 (성북동1가),베이커리,2,N,Y,서울 2025 선정
서북면옥,서울특별시 광진구 자양로 199-1 (구의동),"평양냉면, 만두, 수육",2,N,Y,서울 2025 선정
서울다이닝,서울특별시 중구 동호로 272 (장충동2가) 디자인하우스,프랑스식,2,N,Y,서울 2025 선정
명륜손칼국수,서울특별시 종로구 혜화로 45-5 (명륜1가),"칼국수, 문어, 수육",2,N,Y,서울 2025 선정
소울다이닝,서울특별시 용산구 신흥로26길 35 (용산동2가) 지하 1층,모던한식,2,N,Y,서울 2025 선정
락희돈,서울특별시 마포구 월드컵북로2길 86 (동교동),쿠시야키,2,Y,Y,레드리본 선정 서울 2025 선정
만정,서울특별시 종로구 삼청로 124-2 (삼청동) RH타운 2층,소고기구이,2,Y,Y,레드리본 선정 서울 2025 선정
발우공양,서울특별시 종로구 우정국로 56 (견지동) 템플스테이 통합 정보센터 5층,"사찰요리, 비건",2,N,Y,서울 2025 선정
깡통만두,서울특별시 종로구 북촌로2길 5-6 (재동),"만둣국, 칼국수, 비빔국수",2,N,Y,서울 2025 선정
펠앤콜,서울특별시 마포구 와우산로 39-21 (상수동),아이스크림,2,N,Y,서울 2025 선정
툭툭누들타이,서울특별시 마포구 성미산로 161-8 (연남동),태국식,2,Y,Y,레드리본 선정 서울 2025 선정
비원떡집,서울특별시 종로구 북촌로 33-1 (가회동) 1층,떡,2,N,Y,서울 2025 선정
카덴,서울특별시 서대문구 연희로 173 (연희동) 거화빌딩 2층,이자카야,2,N,Y,서울 2025 선정
여명,서울특별시 마포구 도화길 51 (도화동) 2층,일반중식,2,Y,Y,레드리본 선정 서울 2025 선정
두레유,"서울특별시 종로구 평창문화로 84 (평창동) 2, 3층","모던한식, 뉴코리안",2,N,Y,서울 2025 선정
핑하오,서울특별시 마포구 마포대로 45 (도화동) 일진빌딩 지하 1층,일반중식,2,N,Y,서울 2025 선정
이태리재,서울특별시 종로구 율곡로1길 74-9 (소격동),"이탈리아식, 파스타",2,Y,Y,레드리본 선정 서울 2025 선정
소설한남,서울특별시 용산구 한남대로20길 21-18 (한남동) B동 지하 1층,모던한식,2,N,Y,서울 2025 선정
키즈나,서울특별시 종로구 율곡로1길 78 (소격동),스시,2,N,Y,서울 2025 선정
기가스,서울특별시 중구 퇴계로6가길 30 (남창동) 피크닉,"지중해식, 스페인식",2,N,Y,서울 2025 선정
양미옥(남대문점),서울특별시 중구 남대문로 27-2 (남대문로3가),소양대창,2,N,Y,서울 2025 선정
계향각,서울특별시 종로구 동숭길 86 (동숭동),일반중식,2,N,Y,서울 2025 선정
주은,서울특별시 종로구 경희궁길 36 (신문로2가) 경희당 빌딩 8층,모던한식,2,N,Y,서울 2025 선정
시칠리,서울특별시 용산구 이태원로55가길 13 (한남동) 스카이빌,"파스타, 이탈리아식",2,N,Y,서울 2025 선정
스시성북,서울특별시 성북구 성북로 74 (성북동),"스시, 일식오마카세",2,N,Y,서울 2025 선정
남해바다,서울특별시 마포구 토정로37길 46 (도화동) 정우상가 1층,생선회,1,N,Y,서울 2025 선정
동빙고,서울특별시 용산구 이촌로 319 (이촌동) 현대아파트,빙수,1,N,Y,서울 2025 선정
불이아,서울특별시 마포구 동교로 182-6 (동교동),"훠궈, 사천식중식",1,Y,Y,레드리본 선정 서울 2025 선정
마포진짜원조최대포(본점),서울특별시 마포구 만리재로1길 1-2 (공덕동),"돼지갈비, 돼지고기구이",1,Y,Y,레드리본 선정 서울 2025 선정
함스브로트과자점,서울특별시 도봉구 도봉로 483 (쌍문동),베이커리,1,N,Y,서울 2025 선정
청춘구락부,서울특별시 마포구 토정로 308 (용강동),"소곱창, 소양대창",1,Y,Y,레드리본 선정 서울 2025 선정
